Medicine_Name,Category,Price,Stocks_Available_Last_2Weeks,Stocks_Sold_Last_2Weeks,Predicted_Demand_Next_2Weeks
Paracetamol 500mg,FeverPain,200,150,120,125
Amoxicillin 250mg,Antibiotic,338,80,65,70
Lisinopril 10mg,BloodPressure,175,60,50,48
Metformin 500mg,Diabetes,343,110,95,92
Ibuprofen 400mg,PainInflammation,219,90,75,78
Omeprazole 20mg,AcidityUlcer,241,70,55,52
Loratadine 10mg,Allergy,408,40,32,35
Simvastatin 20mg,Cholesterol,435,55,42,41
Cetirizine 10mg,Allergy,11,45,38,40
Aspirin 81mg,PainHeart,364,35,28,26
Atorvastatin 10mg,Cholesterol,228,60,45,43
Hydrochlorothiazide 25mg,Diuretic,116,40,33,31
Clopidogrel 75mg,Heart,201,30,22,21
Azithromycin 500mg,Antibiotic,181,75,60,68
Levothyroxine 50mcg,Thyroid,496,50,35,33
Prednisone 10mg,Inflammation,465,25,17,16
Ranitidine 150mg,AcidityUlcer,409,30,20,19
Albuterol Inhaler,Breathing,414,35,25,28
Warfarin 5mg,BloodClot,254,28,21,20
Doxycycline 100mg,Antibiotic,202,45,30,33
Fluconazole 150mg,Antifungal,123,35,28,27
Furosemide 40mg,Diuretic,475,38,25,24
Montelukast 10mg,BreathingAllergy,418,60,40,42
Naproxen 500mg,PainInflammation,254,65,50,53
Ciprofloxacin 500mg,Antibiotic,115,55,43,45
Paracetamol 500mg,FeverPain,203,152,118,127
Amoxicillin 250mg,Antibiotic,341,78,63,68
Lisinopril 10mg,BloodPressure,172,62,52,49
Metformin 500mg,Diabetes,340,108,93,90
Ibuprofen 400mg,PainInflammation,222,88,73,76
Omeprazole 20mg,AcidityUlcer,238,72,53,50
Loratadine 10mg,Allergy,412,38,30,33
Simvastatin 20mg,Cholesterol,430,57,40,39
Cetirizine 10mg,Allergy,12,43,36,38
Aspirin 81mg,PainHeart,368,33,26,24
Atorvastatin 10mg,Cholesterol,225,62,43,41
Hydrochlorothiazide 25mg,Diuretic,119,38,31,29
Clopidogrel 75mg,Heart,204,28,20,19
Azithromycin 500mg,Antibiotic,178,73,58,66
Levothyroxine 50mcg,Thyroid,499,48,33,31
Prednisone 10mg,Inflammation,460,27,15,14
Ranitidine 150mg,AcidityUlcer,413,28,18,17
Albuterol Inhaler,Breathing,418,33,23,26
Warfarin 5mg,BloodClot,258,26,19,18
Doxycycline 100mg,Antibiotic,205,43,28,31
Fluconazole 150mg,Antifungal,120,37,26,25
Furosemide 40mg,Diuretic,470,40,23,22
Montelukast 10mg,BreathingAllergy,422,58,38,40
Naproxen 500mg,PainInflammation,258,63,48,51
Ciprofloxacin 500mg,Antibiotic,112,57,41,43
Paracetamol 500mg,FeverPain,197,155,123,130
Amoxicillin 250mg,Antibiotic,335,76,68,73
Lisinopril 10mg,BloodPressure,178,58,54,51
Metformin 500mg,Diabetes,346,112,98,95
Ibuprofen 400mg,PainInflammation,216,92,78,81
Omeprazole 20mg,AcidityUlcer,245,68,58,55
Loratadine 10mg,Allergy,405,42,35,38
Simvastatin 20mg,Cholesterol,438,53,44,43
Cetirizine 10mg,Allergy,10,47,40,42
Aspirin 81mg,PainHeart,360,37,30,28
Atorvastatin 10mg,Cholesterol,231,58,48,46
Hydrochlorothiazide 25mg,Diuretic,113,42,35,33
Clopidogrel 75mg,Heart,198,32,24,23
Azithromycin 500mg,Antibiotic,185,70,63,71
Levothyroxine 50mcg,Thyroid,493,52,38,36
Prednisone 10mg,Inflammation,470,23,13,12
Ranitidine 150mg,AcidityUlcer,405,32,22,21
Albuterol Inhaler,Breathing,425,30,20,23
Warfarin 5mg,BloodClot,250,30,23,22
Doxycycline 100mg,Antibiotic,208,40,33,36
Fluconazole 150mg,Antifungal,126,33,31,30
Furosemide 40mg,Diuretic,480,35,28,27
Montelukast 10mg,BreathingAllergy,415,63,43,45
Naproxen 500mg,PainInflammation,262,60,53,56
Ciprofloxacin 500mg,Antibiotic,118,52,46,48
Paracetamol 500mg,FeverPain,206,148,115,120
Amoxicillin 250mg,Antibiotic,348,74,60,65
Lisinopril 10mg,BloodPressure,181,56,46,44
Metformin 500mg,Diabetes,337,115,90,87
Ibuprofen 400mg,PainInflammation,225,86,70,73
Omeprazole 20mg,AcidityUlcer,235,75,50,47
Loratadine 10mg,Allergy,415,36,28,31
Simvastatin 20mg,Cholesterol,425,59,38,37
Cetirizine 10mg,Allergy,9,50,33,35
Aspirin 81mg,PainHeart,355,40,23,21
Atorvastatin 10mg,Cholesterol,234,56,40,38
Hydrochlorothiazide 25mg,Diuretic,109,45,30,28
Clopidogrel 75mg,Heart,195,35,20,19
Azithromycin 500mg,Antibiotic,188,68,55,60
Levothyroxine 50mcg,Thyroid,502,46,30,28
Prednisone 10mg,Inflammation,475,20,10,9
Ranitidine 150mg,AcidityUlcer,400,35,18,17
Albuterol Inhaler,Breathing,430,28,18,21
Warfarin 5mg,BloodClot,245,33,20,19
Doxycycline 100mg,Antibiotic,211,38,25,28
Fluconazole 150mg,Antifungal,129,30,28,27
Furosemide 40mg,Diuretic,485,30,25,24
Montelukast 10mg,BreathingAllergy,410,65,35,37
Naproxen 500mg,PainInflammation,265,58,45,48
Ciprofloxacin 500mg,Antibiotic,121,50,38,40
Paracetamol 500mg,FeverPain,194,158,125,132
Amoxicillin 250mg,Antibiotic,332,72,58,63
Lisinopril 10mg,BloodPressure,184,54,44,42
Metformin 500mg,Diabetes,349,118,88,85
Ibuprofen 400mg,PainInflammation,213,95,73,76
Omeprazole 20mg,AcidityUlcer,232,78,48,45
Loratadine 10mg,Allergy,418,34,26,29
Simvastatin 20mg,Cholesterol,420,61,36,35
Cetirizine 10mg,Allergy,13,48,31,33
Aspirin 81mg,PainHeart,350,43,20,19
Atorvastatin 10mg,Cholesterol,237,54,38,36
Hydrochlorothiazide 25mg,Diuretic,106,48,28,26
Clopidogrel 75mg,Heart,192,38,18,17
Azithromycin 500mg,Antibiotic,191,66,53,58
Levothyroxine 50mcg,Thyroid,505,44,28,26
Prednisone 10mg,Inflammation,480,18,8,7
Ranitidine 150mg,AcidityUlcer,395,38,16,15
Albuterol Inhaler,Breathing,435,25,15,18
Warfarin 5mg,BloodClot,240,35,18,17
Doxycycline 100mg,Antibiotic,214,36,23,26
Fluconazole 150mg,Antifungal,132,28,26,25
Furosemide 40mg,Diuretic,490,25,23,22
Montelukast 10mg,BreathingAllergy,405,68,33,35
Naproxen 500mg,PainInflammation,268,55,43,46
Ciprofloxacin 500mg,Antibiotic,124,48,36,38
Paracetamol 500mg,FeverPain,209,145,112,117
Amoxicillin 250mg,Antibiotic,329,70,55,60
Lisinopril 10mg,BloodPressure,187,52,42,40
Metformin 500mg,Diabetes,352,120,85,82
Ibuprofen 400mg,PainInflammation,210,98,70,73
Omeprazole 20mg,AcidityUlcer,229,80,45,42
Loratadine 10mg,Allergy,421,32,24,27
Simvastatin 20mg,Cholesterol,415,63,34,33
Cetirizine 10mg,Allergy,14,52,29,31
Aspirin 81mg,PainHeart,345,46,18,17
Atorvastatin 10mg,Cholesterol,240,52,36,34
Hydrochlorothiazide 25mg,Diuretic,103,50,25,23
Clopidogrel 75mg,Heart,189,40,16,15
Azithromycin 500mg,Antibiotic,194,64,50,55
Levothyroxine 50mcg,Thyroid,508,42,26,24
Prednisone 10mg,Inflammation,485,15,6,5
Ranitidine 150mg,AcidityUlcer,390,40,14,13
Albuterol Inhaler,Breathing,440,23,13,16
Warfarin 5mg,BloodClot,235,38,16,15
Doxycycline 100mg,Antibiotic,217,34,20,23
Fluconazole 150mg,Antifungal,135,25,23,22
Furosemide 40mg,Diuretic,495,20,20,19
Montelukast 10mg,BreathingAllergy,400,70,30,32
Naproxen 500mg,PainInflammation,271,52,40,43
Ciprofloxacin 500mg,Antibiotic,127,45,33,35
Paracetamol 500mg,FeverPain,212,142,110,115
Amoxicillin 250mg,Antibiotic,326,68,50,55
Lisinopril 10mg,BloodPressure,190,48,38,36
Metformin 500mg,Diabetes,355,125,80,77
Ibuprofen 400mg,PainInflammation,207,102,65,68
Omeprazole 20mg,AcidityUlcer,226,85,40,37
Loratadine 10mg,Allergy,424,30,22,25
Simvastatin 20mg,Cholesterol,410,66,30,29
Cetirizine 10mg,Allergy,16,56,25,27
Aspirin 81mg,PainHeart,340,50,15,14
Atorvastatin 10mg,Cholesterol,243,48,30,28
Hydrochlorothiazide 25mg,Diuretic,100,55,20,18
Clopidogrel 75mg,Heart,186,45,10,9
Azithromycin 500mg,